text,sentiment
@chrishasboobs AHHH I HOPE YOUR OK!!! ,Negative
"@misstoriblack cool , i have no tweet apps  for my razr 2",Negative
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",Negative
School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,Negative
upper airways problem ,Negative
Going to miss Pastor's sermon on Faith... ,Negative
on lunch....dj should come eat with me ,Positive
@piginthepoke oh why are you feeling like that? ,Negative
gahh noo!peyton needs to live!this is horrible ,Negative
@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,Positive
@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,Positive
to sum up my day in one word ......... kackered! ,Positive
@k9wkj Great minds think alike ,Positive
Is Poorly and in bed! ,Negative
"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",Positive
"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",Positive
"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",Positive
@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,Negative
"ugh, morning's off to a rough start ",Negative
just bit my tongue ,Negative
@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,Negative
Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Positive
"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",Positive
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Positive
"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",Negative
i don't feel good ,Negative
@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,Positive
This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,Negative
my car is poorly ,Negative
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,Positive
No woooooork tomorrrow&amp;tuesday ,Positive
Flatmates are still in the bathroom! ARGGH!! ,Negative
I'm having an allergic reaction to silver earings ,Negative
"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",Negative
"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",Negative
what is with msn making me click the wrong people. garrrrr ,Negative
Too full of fizz but not enough cider ,Negative
How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,Positive
Time to sleep... Long day again tomorrow ,Negative
Hahaha blakk is reckkkin it. :p throwwwwwed. ,Positive
Cubs game today! My first ever ,Positive
@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,Positive
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,Positive
eating cha with eric ,Positive
"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",Positive
My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,Negative
"@Konstantine I said &quot;scar,&quot; sweetie. ",Positive
@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,Negative
FCK-Brï¿½ndby 4-0! ,Positive
@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,Negative
@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,Positive
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",Positive
@ElleChanel want to shoot...but i'm not in charlotte .. ,Negative
@sephrenia1982 good work ,Positive
@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,Positive
@CatholicChicks hate bein on the phone that long ,Negative
"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",Positive
@melbgirl It means the same to us!  #GoCats,Positive
"beach this morning,bbq this afternoon. Back to school/work 2morro ",Negative
@joshlam and you are how old?? REALLY?!? ,Positive
@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,Negative
Watched Crank 2.... awesome ,Positive
@TheUncoolest ,Positive
Night in with the rock star...  ,Positive
@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,Positive
first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,Positive
"my tooth is sving, and I cannot see my dentist for a week ",Negative
cant sleep got heartburn really bad ,Negative
Off to Whipsnade  Hope it's dry,Positive
Going To Bed ...My Ankle Hurts ,Negative
hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,Negative
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,Negative
"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",Positive
Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,Positive
"i miss him, i cant wait to see him, im happy ",Positive
@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,Negative
"@mithss mourniiiiiiing eh, morniiing!!! ",Positive
@pamelaong Glad the blog helped ,Positive
Awesome pumpkin! Your famous ,Positive
"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",Negative
@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,Positive
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",Negative
Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Positive
"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",Positive
at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,Negative
I am so hungry  I hate not eating breakfast!,Negative
ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,Negative
